hippo,prixnom,cheval,numero,jour,heure,proba pl
Fontainebleau,Prix Colonel Beaujean,Fleur d\'Estruval,5,2022-12-06,11:40:00,0.74
Chantilly,Prix du Carrefour du Chêne Sec,Kendly,4,2022-12-06,11:55:00,0.53
Fontainebleau,Prix des Lièvres,Lady Martaline,6,2022-12-06,12:12:00,0.58
Fontainebleau,Prix des Lièvres,Iskandara,1,2022-12-06,12:12:00,0.7
Fontainebleau,Prix de la Mare aux Cerfs,Galasina,2,2022-12-06,12:47:00,0.65
Nantes,Prix de Haute-Goulaine,Jaguar d\'Hermes,5,2022-12-06,13:00:00,0.5
Fontainebleau,Prix des Aubépines,Canaille de Nonant,11,2022-12-06,13:25:00,0.58
Fontainebleau,Prix du Massif Forestier,Ikigai,8,2022-12-06,14:07:00,0.54
Fontainebleau,Prix du Fer à Cheval,Besan d\'Or,2,2022-12-06,14:42:00,0.65
Fontainebleau,Prix du Fer à Cheval,Parisimix,3,2022-12-06,14:42:00,0.53
Fontainebleau,Prix du Fer à Cheval,Blooming,4,2022-12-06,14:42:00,0.59
Fontainebleau,Prix du Lancer,Bentoialor,9,2022-12-06,15:17:00,0.57
Fontainebleau,Prix du Lancer,Avocette,10,2022-12-06,15:17:00,0.6
Paris-Vincennes,Prix Féronia,Duomo,10,2022-12-06,16:28:00,0.6
Graignes,Prix Pierre Guillaume,Irène Flash,5,2022-12-06,16:45:00,0.84
Graignes,Prix de l\'Hippodrome de Bréhal,Jibus de Godrel,2,2022-12-06,19:35:00,0.51
Paris-Vincennes,Prix des Camélias,Keljula Zen,9,2022-12-06,19:50:00,0.51
