hippo,cheval,numero,numcourse,jour,heure,proba pl,cl,pl,id,coteprob,cotedirect,predi_placé,bonne_pred
Marseille-Vivaux,Hello de Ligny,2,1407150,2022-12-03,20:30:00,0.56,1.0,1.0,14071502,1.8,1.8,1,1.0
Paris-Vincennes,Hohneck,9,1407161,2022-12-03,14:33:00,0.58,3.0,1.0,14071619,3.1,2.6,1,1.0
Auteuil,Hôtesse du Chênet,1,1409539,2022-12-03,12:35:00,0.53,1.0,1.0,14095391,1.8,2.1,1,1.0
Auteuil,Ecoute en Tête,1,1409542,2022-12-03,16:07:00,0.6,3.0,1.0,14095421,7.2,5.1,1,1.0
Auteuil,Henri Le Farceur,5,1409543,2022-12-03,13:40:00,0.52,1.0,1.0,14095435,23.0,5.8,1,1.0
Auteuil,Excello,3,1409546,2022-12-03,12:05:00,0.57,2.0,1.0,14095463,2.1,2.2,1,1.0
Bergsaker,Ragnhild W.M.,6,1412542,2022-12-03,15:31:00,0.59,2.0,1.0,14125426,0.0,0.0,1,1.0
Bergsaker,Laredo Boko,5,1412544,2022-12-03,16:20:00,0.5,2.0,1.0,14125445,0.0,0.0,1,1.0
Bergsaker,Indira Split,9,1412547,2022-12-03,17:27:00,0.89,3.0,1.0,14125479,0.0,0.0,1,1.0
Bergsaker,Pinto Bob,3,1412548,2022-12-03,17:50:00,0.5,3.0,1.0,14125483,0.0,0.0,1,1.0
Bergsaker,Ferrari Sisu,8,1412548,2022-12-03,17:50:00,0.56,1.0,1.0,14125488,0.0,0.0,1,1.0
Bergsaker,Laradja Vrijthout,7,1412550,2022-12-03,18:43:00,0.68,1.0,1.0,14125507,0.0,0.0,1,1.0
Klosterskogen,Coktail Gun M.E.,7,1413293,2022-12-03,14:30:00,0.63,1.0,1.0,14132937,0.0,0.0,1,1.0
Klosterskogen,Keiser C.K.,4,1413296,2022-12-03,15:44:00,0.62,2.0,1.0,14132964,0.0,0.0,1,1.0
Klosterskogen,Sue,9,1413299,2022-12-03,16:50:00,0.5,1.0,1.0,14132999,0.0,0.0,1,1.0
Klosterskogen,Balder Odin,5,1413300,2022-12-03,17:10:00,0.5,1.0,1.0,14133005,0.0,0.0,1,1.0
U.A.E. - Jebel Ali,Ibra Attack,6,1413410,2022-12-03,11:45:00,0.51,1.0,1.0,14134106,0.0,0.0,1,1.0
Dinslaken,Lady Quick,3,1413663,2022-12-03,14:00:00,0.7,2.0,1.0,14136633,0.0,0.0,1,1.0
Dinslaken,Ikarios,9,1413663,2022-12-03,14:00:00,0.57,1.0,1.0,14136639,0.0,0.0,1,1.0
Dinslaken,Arcano Be,4,1413667,2022-12-03,15:40:00,0.63,1.0,1.0,14136674,0.0,0.0,1,1.0
Dinslaken,Perfect Dream,7,1413668,2022-12-03,16:05:00,0.65,1.0,1.0,14136687,0.0,0.0,1,1.0
Dinslaken,Jingle Bells,9,1413668,2022-12-03,16:05:00,0.58,2.0,1.0,14136689,0.0,0.0,1,1.0
Dinslaken,Man U,6,1413671,2022-12-03,17:20:00,0.59,1.0,1.0,14136716,0.0,0.0,1,1.0
Dinslaken,Amel,4,1413672,2022-12-03,17:44:00,0.53,3.0,1.0,14136724,0.0,0.0,1,1.0
Dinslaken,Cameron Venus,2,1413673,2022-12-03,18:04:00,0.7,1.0,1.0,14136732,0.0,0.0,1,1.0
Baden-Baden,Lake Naivasha,5,1413702,2022-12-03,10:50:00,0.5,2.0,1.0,14137025,4.9,5.3,1,1.0
San Isidro,Coriane,4,1413858,2022-12-03,21:55:00,0.75,1.0,1.0,14138584,0.0,0.0,1,1.0
Marseille-Vivaux,History Sixty One,10,1407145,2022-12-03,20:00:00,0.6,1.0,1.0,140714510,3.3,2.0,1,1.0
Bergsaker,Succession,12,1412543,2022-12-03,15:53:00,0.57,2.0,1.0,141254312,0.0,0.0,1,1.0
Bergsaker,Carl Halbak,10,1412544,2022-12-03,16:20:00,0.52,1.0,1.0,141254410,0.0,0.0,1,1.0
Dinslaken,Penelope Hasselt,10,1413670,2022-12-03,16:53:00,0.5,3.0,1.0,141367010,0.0,0.0,1,1.0
